"user","message","processTime","sent_at"
"stormfront89","!audit",10968,"2025-01-19T10:30:11.078Z"
"thedeepboys","why are all black people fast. because all the slow ones are in jail.",13516,"2025-01-19T10:30:11.078Z"
"thedeepboys","i like black people like i like my apples hanging on a tree",15364,"2025-01-19T10:30:11.078Z"
"thedeepboys","what's the deal with black people they're not black, and they're certainly not people",17557,"2025-01-19T10:30:11.078Z"
"thedeepboys","white people cant be racist because racism is a crime and crime is for black people",19434,"2025-01-19T10:30:11.078Z"
"thedeepboys","do all black people have a problem with slavery ? or it is just mine ?",21364,"2025-01-19T10:30:11.078Z"
"thedeepboys","when black people jerkoff.... is it considered slavebaiting or masterbaiting",29010,"2025-01-19T10:30:11.078Z"
"thedeepboys","should black people get a free pass to heaven for their lives being so difficult on earth? or should white people for having to live with them?",30982,"2025-01-19T10:30:11.078Z"
"thedeepboys","what do you call 9 black people in a hot tub? coco puffs.",32903,"2025-01-19T10:30:11.078Z"
"thedeepboys","i love black people i feel like everyone should own one",35111,"2025-01-19T10:30:11.078Z"
"thedeepboys","i heard that a hundred-thousand black people died last month. the police force must really be working hard, huh?",36941,"2025-01-19T10:30:11.078Z"
"thedeepboys","i dont have anything against black people. i think everyone should own one.",44531,"2025-01-19T10:30:11.078Z"
"thedeepboys","why do we say black people are a minority? just a fancy way of saying we're low on stock",46472,"2025-01-19T10:30:11.078Z"
"thedeepboys","do you know why you cant find a black faced smiley ? its because black people are not allowed to have emotions .",48530,"2025-01-19T10:30:11.078Z"
"thedeepboys","why do black people always have nightmares? because we killed the only one who had a dream",50543,"2025-01-19T10:30:11.078Z"
"thedeepboys","what do you call 500 black people running down a hill? jailbreak.",52490,"2025-01-19T10:30:11.078Z"
"thedeepboys","what does the front page of a racist jokes newspaper say ? this paper would be racist if black people could be read .",60049,"2025-01-19T10:30:11.078Z"
"thedeepboys","why do most black people have short curly hair? because it resembles the cotton they use to pick",62134,"2025-01-19T10:30:11.078Z"
"thedeepboys","what's wrong with a cadillac with 5 black people going over a cliff? a cadillac can seat 6.",64018,"2025-01-19T10:30:11.078Z"
"thedeepboys","racism isn't real... black people are just worse",66056,"2025-01-19T10:30:11.078Z"
"thedeepboys","what animal has 6 legs, an asshole located on its back, and attacks black people a police horse",68242,"2025-01-19T10:30:11.078Z"
"thedeepboys","black people are people too said no one ever",75562,"2025-01-19T10:30:11.078Z"
"thedeepboys","people are pushing for a new 'black lady' liberty coin... i can't wait to start using black people as currency again.",77556,"2025-01-19T10:30:11.078Z"
"thedeepboys","eminem 's music really appeals to black people "" he goes home and barely knows his own daughter """,79832,"2025-01-19T10:30:11.078Z"
"thedeepboys","""#blackmonday: """"hey, black people, we'll show solidarity with you, but not about shit that actually matters.""""""",81652,"2025-01-19T10:30:11.078Z"
"thedeepboys","what do you call a bunch of black people hanging in a barn? antique farm equipment.",83590,"2025-01-19T10:30:11.078Z"
"thedeepboys","im not racist. i love black people! i would even purchase one myself.",91096,"2025-01-19T10:30:11.078Z"
"thedeepboys","why do black people stink? so blind people can hate them too",93171,"2025-01-19T10:30:11.078Z"
"thedeepboys","in what class do black people do the worst ? social class",95118,"2025-01-19T10:30:11.078Z"
"thedeepboys","why are black people so much into bdsm ? <allcaps> because they are used to saying : "" yes , master . """,97171,"2025-01-19T10:30:11.078Z"
"thedeepboys","what do you call an army composed of only black people? gorilla warfare.",99173,"2025-01-19T10:30:11.078Z"
"thedeepboys","did you hear about the new chap stick for black people? it comes in spray cans!",106677,"2025-01-19T10:30:11.078Z"
"thedeepboys","im not racist i even have a few black people in my family tree. now that i think of it, theyre still hanging there.",108758,"2025-01-19T10:30:11.078Z"
"thedeepboys","why dont you see black people riding on motorcycles? because their lips would beat them to death.",110876,"2025-01-19T10:30:11.078Z"
"thedeepboys","what s the difference between snow tires and black people ? snow tires do n't sing when you put chains on them",112678,"2025-01-19T10:30:11.078Z"
"thedeepboys","why did the chicken cross the road? there was too many black people on the side he was on.",114883,"2025-01-19T10:30:11.078Z"
"thedeepboys","there are 2 types of people that i hate the most racist people and black people",122291,"2025-01-19T10:30:11.078Z"
"thedeepboys","why do black people have white hands? so the cotton doesn't get dirty.",124245,"2025-01-19T10:30:11.078Z"
"thedeepboys","black panther wasn't realistic they had black people firstly with rights, secondly out of their chains and lastly none of them were hanging from a tree.",126248,"2025-01-19T10:30:11.078Z"
"thedeepboys","why is the steering wheel from black people cars small? so they can drive with handcuffs.",128245,"2025-01-19T10:30:11.078Z"
"thedeepboys","what's the worst epidemic that came out of africa? black people",130292,"2025-01-19T10:30:11.078Z"
"thedeepboys","what do black people and meat have in common? if it's black, it's failed.",137813,"2025-01-19T10:30:11.078Z"
"thedeepboys","why do black people have dark skin not even light wants to bounce off the fuckers",139792,"2025-01-19T10:30:11.078Z"
"thedeepboys","why is incest rare amongst black people? because the dad runs away before he can rape the daughter, and the son is usually too busy raping white chicks to fuck his mum.",141826,"2025-01-19T10:30:11.078Z"
"thedeepboys","black people are a lot like christmas lights. they never work, they're not too bright, and they're always hangin around porches being useless.",143817,"2025-01-19T10:30:11.078Z"
"thedeepboys","what do spiderwebs and black people have in common? they both hang from street lights.",145949,"2025-01-19T10:30:11.078Z"
"thedeepboys","black people are the greatest invention by a white man",153338,"2025-01-19T10:30:11.078Z"
"thedeepboys","why are black people watching black panther? because that's the only movie where no one of them dies.",155304,"2025-01-19T10:30:11.078Z"
"thedeepboys","what do bikes and black people have in common? they don't work without chains",157335,"2025-01-19T10:30:11.078Z"
"thedeepboys","what is the slogan of black people taking over america? make america gape again",159308,"2025-01-19T10:30:11.078Z"
"thedeepboys","why are black people so hot? because were burning them alive, kyle.",161310,"2025-01-19T10:30:11.078Z"
"thedeepboys","why are black people good at basketball? there's not much else to do in prison",168859,"2025-01-19T10:30:11.078Z"
"thedeepboys","what do you call two black people high fiving gang violence",170861,"2025-01-19T10:30:11.078Z"
"thedeepboys","black people call everyone racist because black people are the most racist of all and are projecting.",172998,"2025-01-19T10:30:11.078Z"
"thedeepboys","what do you call a bunch of black people in the ocean? an oil spill",175041,"2025-01-19T10:30:11.078Z"
"thedeepboys","if a garbage man takes trash off the streets it's a public service if i take out black people, it's a crime?",177101,"2025-01-19T10:30:11.078Z"
"thedeepboys","black people they demand to sit in the front of the bus and end up in the back of the cops car",184408,"2025-01-19T10:30:11.078Z"
"thedeepboys","what's the difference between black people and cancer? cancer got jobs.",186433,"2025-01-19T10:30:11.078Z"
"thedeepboys","black people say theres no difference between them and white people because we all have the same color blood going through our bodies... but they also have the same color blood as chimpanzees",188659,"2025-01-19T10:30:11.078Z"
"thedeepboys","white people dont shoot each other in the streets like black people do we do it in schools, because we have class",190446,"2025-01-19T10:30:11.078Z"
"thedeepboys","my doctor gave me melatonin to help me sleep. so if melatonin makes you sleepy, is that why black people are always late? becuase they like, already have it in their skin?",192450,"2025-01-19T10:30:11.078Z"
"thedeepboys","why do black people belong in cartoons ? because that 's the only place i 've ever seen talking animals .",200002,"2025-01-19T10:30:11.078Z"
"thedeepboys","why are there balls of cotton in pill bottles? to remind black people they were slaves before they were drug dealers.",202010,"2025-01-19T10:30:11.078Z"
"thedeepboys","whats the same between alice and black people when you put them in chains they start singing",204065,"2025-01-19T10:30:11.078Z"
"thedeepboys","searched the web for black people they were giving great discounts online",205996,"2025-01-19T10:30:11.078Z"
"thedeepboys","why do black people buy old police cars ? they like to relive their childhood .",208198,"2025-01-19T10:30:11.078Z"
"thedeepboys","i have so many jokes about black people... ...but none of them work!",215658,"2025-01-19T10:30:11.078Z"
"thedeepboys","why are black peoples ' eyes red after having sex ? pepper - spray",217808,"2025-01-19T10:30:11.078Z"
"thedeepboys","i like black people how i like christmas ornaments out of sight unless theyre hanging from trees",219599,"2025-01-19T10:30:11.078Z"
"thedeepboys","i have a lot of jokes about black people sadly none of them work",221576,"2025-01-19T10:30:11.078Z"
"thedeepboys","there was some black people hanging around the park yesterday until the cops pulled them down.",223759,"2025-01-19T10:30:11.078Z"
"thedeepboys","my sister has black people hair! she has to use colored people shampoo! i feel so bad for her, like all her friends have pretty straight blond hair and she has like, an afro!",231380,"2025-01-19T10:30:11.078Z"
"thedeepboys","why do black people walk funny? pick the cotton put it in the basket, pick the cotton put it in the basket.",233366,"2025-01-19T10:30:11.078Z"
"thedeepboys","why is the bottom of the ocean so dark? black people can't swim.",235555,"2025-01-19T10:30:11.078Z"
"thedeepboys","why do black people hate taking tylenol? because they have to pick the cotton out....",237195,"2025-01-19T10:30:11.078Z"
"thedeepboys","black people with dry lips and knuckles in cinema needs to stop. y'all don't have a bottle of moisturizer on set? ex. get out",239345,"2025-01-19T10:30:11.078Z"
"thedeepboys","why do black people have long dicks? it was a genetics mistake... it was supposed to be the tail!",246776,"2025-01-19T10:30:11.078Z"
"thedeepboys","no wonder black people are so athletic. theyre dark meat.",248664,"2025-01-19T10:30:11.078Z"
"thedeepboys","do black people smell like smelly socks. cause aren't monkeys smelly?",250905,"2025-01-19T10:30:11.078Z"
"thedeepboys","what holiday do black people dont celebrate? fathers day",252704,"2025-01-19T10:30:11.078Z"
"thedeepboys","we need to stop making fun of black peoples intelligence. i mean some of them have learned how to use sticks to dig up ants out of the dirt.",254671,"2025-01-19T10:30:11.078Z"
"thedeepboys","What do you call a jewish Pokamon trainer Ash  What's his favourite Pokamon?  He doesn't care. He just wants the prize money",262346,"2025-01-19T10:30:11.078Z"
"thedeepboys","Two men jump of a bridge, one jewish and one Black. Which one falls faster? Black. Because chains fall faster than ash",264275,"2025-01-19T10:30:11.078Z"
"thedeepboys","Roses are red, violets are blue-ish If he hates Ash and don't give cash, he probably jewish",266243,"2025-01-19T10:30:11.078Z"
"thedeepboys","what 's the difference between jewish people and santa claus ? their direction in the chimney .",268378,"2025-01-19T10:30:11.078Z"
"thedeepboys","A jewish girl asked for my number... I said we only do names here.",270341,"2025-01-19T10:30:11.078Z"
"thedeepboys","What do you call a jewish woman's boobs? Jewbs",277937,"2025-01-19T10:30:11.078Z"
"thedeepboys","My family just adopted a little jewish kid He looks so cute sleeping in the oven.",279800,"2025-01-19T10:30:11.078Z"
"thedeepboys","Why do jewish men get circumcised? Because jewish women won't touch anything that isn't at least 30% off.",281737,"2025-01-19T10:30:11.078Z"
"thedeepboys","How many jewish babies does it take to paint a concentration camp? Depends on how hard you throw them.",283749,"2025-01-19T10:30:11.078Z"
"thedeepboys","What did the jewish children do when their mom got cancer? Who cares?",285804,"2025-01-19T10:30:11.078Z"
"thedeepboys","muslims are spreading a disease apparently it 's called ' islam '",293393,"2025-01-19T10:30:11.078Z"
"thedeepboys","My wife would make a good Muslim woman. I'd just plow that ass and beat the shit out of her all day like I always do",295393,"2025-01-19T10:30:11.078Z"
"thedeepboys","how do you blow up a muslim 's phone ? put it into airplane mode .",297520,"2025-01-19T10:30:11.078Z"
"thedeepboys","I went to a Muslim party It was a blast.",299527,"2025-01-19T10:30:11.078Z"
"thedeepboys","In what way is a radical American superior to a radical Muslim? By managing to blow up stuff without blowing up.",301528,"2025-01-19T10:30:11.078Z"
"thedeepboys","what 's five and half foot long , transparent and lies in a gutter ? a muslim with the shit beaten out of it .",308836,"2025-01-19T10:30:11.078Z"
"thedeepboys","Why aren't there many Muslim prostitutes? No one wants to pay 5p for the bag!",310868,"2025-01-19T10:30:11.078Z"
"thedeepboys","how do you tell the difference between a muslim and a terrorist ? i have no clue and that 's kinda the problem is n't it",313068,"2025-01-19T10:30:11.078Z"
"thedeepboys","Why were there no Muslims in Star Trek? Because it's the future  Edit: Grammar",315074,"2025-01-19T10:30:11.078Z"
"thedeepboys","Why is there no Muslim sex dolls? Because they blow up when you try to inflate them.",316914,"2025-01-19T10:30:11.078Z"
"thedeepboys","Come on guys Muslims are people too Until they're little chunks of flesh.",324595,"2025-01-19T10:30:11.078Z"
"thedeepboys","What do you call a muslim terrorist? A tautology.",326603,"2025-01-19T10:30:11.078Z"
"thedeepboys","how does a muslim buy a punching bag Gets married",328698,"2025-01-19T10:30:11.078Z"
"thedeepboys","What do you call an educated Muslim woman? A smart bomb",330628,"2025-01-19T10:30:11.078Z"
"thedeepboys","How do Muslim terrorist make bomb? Through their bomb manual, The Quran.",332507,"2025-01-19T10:30:11.078Z"
"thedeepboys","what is the smallest muscle in a goat 's rectum ? a muslim 's penis .",340059,"2025-01-19T10:30:11.078Z"
"thedeepboys","how do muslim parents feed their children ? "" here comes the airplane ! """,341977,"2025-01-19T10:30:11.078Z"
"thedeepboys","what do you call a muslim abortion bomb defusal",344060,"2025-01-19T10:30:11.078Z"
"thedeepboys","Not all Muslims are terrorists... Some are still under training.",345968,"2025-01-19T10:30:11.078Z"
"thedeepboys","I'm willing to give up any rights Muslims have in order to feel safer.",347978,"2025-01-19T10:30:11.078Z"
