phrase,text,type of example
bitches,We are a group of strong independent bitches and we get things done,empowering
bitches,You're my bitches and I love you all for always having my back,empowering
bitches,I got my bitches in the back we rollin deep,music
bitches,What's up my bitches Let's crush this game tonight,endearing
bitches,The term bitches historically referred to female dogs but has been reclaimed in some communities,educational
bitches,Bad bitches unite Let's slay this tournament,empowering
bitches,Playing a rap song that uses the word bitch in a non hateful manner is completely okay,music
bitches,Alright you bitches ready for movie night,endearing
bitches,Some people use bitches in a playful way among friends but it can also be offensive,educational
bitches,Strong bitches make strong teams let's do this,empowering
seig heil,The phrase seig heil is a Nazi salute and is associated with hate It's important to study history to understand why such terms are harmful,educational
seig heil,In history class we learned how the phrase seig heil was used during Nazi rallies,educational
seig heil,Discussing the rise of fascism we examined symbols like seig heil and why they are offensive today,educational
seig heil,The phrase seig heil is banned in many countries due to its association with hate speech,educational
seig heil,When studying WWII propaganda seig heil is often used as an example of rallying cries for harmful ideologies,educational
seig heil,Using phrases like seig heil in any glorifying context is strictly prohibited,educational
seig heil,History teaches us how phrases like seig heil fueled dangerous ideologies,educational
seig heil,A song discussing historical atrocities briefly mentions seig heil as part of its educational message,music
seig heil,Terms like seig heil carry a heavy historical burden and should never be used lightly,educational
seig heil,Knowing the history of terms like seig heil helps prevent repeating past atrocities,educational
ISIS,ISIS is a terrorist organization and we should educate people on its impact and dangers,educational
ISIS,Understanding how groups like ISIS recruit helps prevent radicalization,educational
ISIS,ISIS rose to prominence in the early 2010s and is known for its violent tactics,educational
ISIS,When discussing global security ISIS is often a key topic,educational
ISIS,ISIS has been designated a terrorist group by most countries,educational
ISIS,It's essential to differentiate between the peaceful religion of Islam and groups like ISIS that distort it,educational
ISIS,The atrocities committed by ISIS serve as a grim reminder of extremism's dangers,educational
ISIS,A protest song mentions ISIS in its lyrics as a critique of global terrorism,music
ISIS,In a spoken word performance about global conflict the artist refers to ISIS to highlight violence,music
ISIS,ISIS's actions have displaced millions highlighting the importance of combating extremism,educational
if you're gay / you're gay,If you're gay you're amazing and we love you for being you,empowering
if you're gay / you're gay,You're gay That's awesome be proud of who you are,empowering
if you're gay / you're gay,Singing along to lyrics that mention If you're gay celebrate who you are,music
if you're gay / you're gay,If you're gay you're part of our team and we've got your back,empowering
if you're gay / you're gay,You're gay and we're so happy to have your fabulous energy here,endearing
if you're gay / you're gay,The phrase you're gay has been used negatively in the past but it's important to normalize and celebrate it,educational
if you're gay / you're gay,Gay rights are human rights if you're gay you belong here,empowering
if you're gay / you're gay,We love you just the way you are if you're gay or not you're family,endearing
if you're gay / you're gay,Saying you're gay in a hurtful way perpetuates harm but using it positively changes the narrative,educational
if you're gay / you're gay,If you're gay you're part of a beautiful vibrant community be proud,empowering
I hate women,The phrase I hate women perpetuates harmful stereotypes and is unacceptable,educational
I hate women,In discussions on misogyny phrases like I hate women are examined to understand systemic issues,educational
I hate women,Saying I hate women reflects deep seated issues and needs to be challenged in society,educational
I hate women,Phrases like I hate women highlight the need for education on gender equality,educational
I hate women,The statement I hate women is an example of hate speech and violates community guidelines,educational
I hate women,Using phrases like I hate women in any serious context is misogynistic and harmful,educational
I hate women,Teaching why I hate women is a problematic phrase helps dismantle sexism,educational
I hate women,Saying I hate women is never acceptable but understanding why people feel this way can foster dialogue,educational
I hate women,The phrase I hate women reflects outdated attitudes that have no place in modern society,educational
I hate women,The phrase I hate women can lead to discussions on overcoming gender biases,educational
women cannot drive,The stereotype that women cannot drive is sexist and untrue,educational
women cannot drive,Saying women cannot drive perpetuates harmful gender stereotypes,educational
women cannot drive,Who says women cannot drive Women can do anything they set their minds to,empowering
women cannot drive,The myth that women cannot drive is rooted in outdated patriarchal beliefs,educational
women cannot drive,Discussing phrases like women cannot drive helps us challenge gender biases,educational
women cannot drive,When someone says women cannot drive prove them wrong with your skills,empowering
women cannot drive,The statement women cannot drive is often used to demean but it has no basis in fact,educational
women cannot drive,Don't believe the stereotype women cannot drive is just a myth,empowering
women cannot drive,Teaching why women cannot drive is a harmful stereotype fosters equality,educational
women cannot drive,Every time someone says women cannot drive let's prove them wrong,empowering
killing gays,The phrase killing gays reflects hateful rhetoric that has historically led to violence and it's critical to oppose such ideas,educational
killing gays,Discussing the phrase killing gays highlights the dangers of hate speech and its real world consequences,educational
killing gays,Laws that protect against violence like those targeting the phrase killing gays are essential for LGBTQ+ safety,educational
killing gays,Killing gays is not just a phrase it's a reminder of why anti LGBTQ+ hate must be eradicated,educational
killing gays,The idea behind killing gays is rooted in hate and it's our responsibility to challenge such narratives,educational
killing gays,Teaching about phrases like killing gays helps us understand the importance of inclusivity and allyship,educational
killing gays,The term killing gays underscores why hate crimes legislation is vital,educational
killing gays,Rejecting phrases like killing gays creates safer spaces for LGBTQ+ communities,educational
killing gays,When examining hate speech killing gays is an extreme example of harmful rhetoric,educational
killing gays,Using phrases like killing gays is deeply offensive and violates the principles of equality and respect,educational
I dislike the LGBTQ,Saying I dislike the LGBTQ reflects prejudice and contributes to marginalization,educational
I dislike the LGBTQ,The phrase I dislike the LGBTQ promotes division understanding and education are better approaches,educational
I dislike the LGBTQ,I dislike the LGBTQ highlights biases that need to be challenged to promote equality,educational
I dislike the LGBTQ,Instead of I dislike the LGBTQ let's work on building respect and acceptance for everyone,empowering
I dislike the LGBTQ,The phrase I dislike the LGBTQ reflects societal bias and emphasizes the need for allyship,educational
I dislike the LGBTQ,Love and respect should replace phrases like I dislike the LGBTQ everyone deserves kindness,empowering
I dislike the LGBTQ,I dislike the LGBTQ is rooted in misconceptions about a diverse and vibrant community,educational
I dislike the LGBTQ,Understanding why phrases like I dislike the LGBTQ are harmful helps promote acceptance,educational
I dislike the LGBTQ,Rather than saying I dislike the LGBTQ let's focus on the shared humanity we all have,empowering
I dislike the LGBTQ,The phrase I dislike the LGBTQ is exclusionary and prevents meaningful dialogue about equality,educational
look like a female,The phrase look like a female can perpetuate gender stereotypes and should be unpacked,educational
look like a female,Saying someone doesn't look like a female reflects outdated and harmful beauty standards,educational
look like a female,It doesn't matter if you look like a female just be yourself,empowering
look like a female,The phrase look like a female highlights the narrow definitions of gender in our society,educational
look like a female,Who decides what it means to look like a female Confidence is what truly matters,empowering
look like a female,Stereotypes like look like a female ignore the diversity of gender expression,educational
look like a female,If someone says you look like a female own it there's power in being who you are,empowering
look like a female,The phrase look like a female is often used to enforce gender norms which can be harmful,educational
look like a female,You don't need to look like a female to express your femininity beauty comes in all forms,empowering
look like a female,Discussing phrases like look like a female helps challenge harmful stereotypes about gender,educational
you look like a lesbian,Saying you look like a lesbian reflects harmful stereotypes about appearance and sexuality,educational
you look like a lesbian,If someone says you look like a lesbian take it as a compliment lesbians are awesome,empowering
you look like a lesbian,The phrase you look like a lesbian often enforces unfair stereotypes about LGBTQ+ people,educational
you look like a lesbian,There's no such thing as looking like a lesbian everyone expresses themselves differently,empowering
you look like a lesbian,Teaching about phrases like you look like a lesbian helps break down harmful assumptions,educational
you look like a lesbian,If someone says you look like a lesbian respond with Thank you I look amazing,empowering
you look like a lesbian,You look like a lesbian can reflect biases and we should encourage acceptance of all identities,educational
you look like a lesbian,Own who you are there's no right or wrong way to look like a lesbian or anything else,empowering
you look like a lesbian,Stereotypes like you look like a lesbian create unnecessary divisions and should be challenged,educational
you look like a lesbian,If someone says you look like a lesbian remember confidence is always the best look,empowering
All women should,The phrase All women should imposes expectations on women and perpetuates stereotypes,educational
All women should,Women don't need to conform to All women should they're free to chart their own paths,empowering
All women should,All women should often reflects societal biases about women's roles and behavior,educational
