msg_sent,fragments,content_category,category_level,problematic_positions,sent_at,received_at
We are a group of strong independent bitches and we get things done,"[{'text': 'bitches', 'automod': {'topics': {'identity': 5}}}]",misogyny,3,"[{'start_pos': 37, 'end_pos': 43}]",2025-01-20T02:56:23.736837208Z,2025-01-20 08:26:23.231160
You're my bitches and I love you all for always having my back,"[{'text': ""You're my bitches"", 'automod': {'topics': {'identity': 5}}}]",misogyny,3,"[{'start_pos': 0, 'end_pos': 16}]",2025-01-20T02:56:25.74192693Z,2025-01-20 08:26:24.384705
I got my bitches in the back we rollin deep,"[{'text': 'bitches', 'automod': {'topics': {'identity': 5}}}]",misogyny,3,"[{'start_pos': 9, 'end_pos': 15}]",2025-01-20T02:56:27.820994774Z,2025-01-20 08:26:27.364623
What's up my bitches Let's crush this game tonight,"[{'text': 'bitches', 'automod': {'topics': {'identity': 5}}}]",misogyny,3,"[{'start_pos': 13, 'end_pos': 19}]",2025-01-20T02:56:30.001597419Z,2025-01-20 08:26:29.364733
The term bitches historically referred to female dogs but has been reclaimed in some communities,"[{'text': 'bitches', 'automod': {'topics': {'identity': 5}}}]",misogyny,3,"[{'start_pos': 9, 'end_pos': 15}]",2025-01-20T02:56:31.772673657Z,2025-01-20 08:26:30.370727
Bad bitches unite Let's slay this tournament,"[{'text': 'bitches', 'automod': {'topics': {'identity': 5}}}]",misogyny,3,"[{'start_pos': 4, 'end_pos': 10}]",2025-01-20T02:56:39.29721558Z,2025-01-20 08:26:38.424151
Playing a rap song that uses the word bitch in a non hateful manner is completely okay,"[{'text': 'bitch', 'automod': {'topics': {'identity': 5}}}]",misogyny,3,"[{'start_pos': 38, 'end_pos': 42}]",2025-01-20T02:56:41.296974112Z,2025-01-20 08:26:40.521037
Alright you bitches ready for movie night,"[{'text': 'you bitches', 'automod': {'topics': {'identity': 5}}}]",misogyny,3,"[{'start_pos': 8, 'end_pos': 18}]",2025-01-20T02:56:43.306265794Z,2025-01-20 08:26:42.369989
Some people use bitches in a playful way among friends but it can also be offensive,"[{'text': 'bitches', 'automod': {'topics': {'identity': 5}}}]",misogyny,3,"[{'start_pos': 16, 'end_pos': 22}]",2025-01-20T02:56:45.32191236Z,2025-01-20 08:26:44.330245
Strong bitches make strong teams let's do this,"[{'text': 'bitches', 'automod': {'topics': {'identity': 5}}}]",misogyny,3,"[{'start_pos': 7, 'end_pos': 13}]",2025-01-20T02:56:47.366048475Z,2025-01-20 08:26:46.386770
