"user","message","processTime","sent_at"
"stormfront89","!dice",4795,"2025-01-20T02:27:20.156Z"
"billybutcher708","You rolled a 3",5152,"2025-01-20T02:27:20.156Z"
"stormfront89","!audit",9253,"2025-01-20T02:27:20.156Z"
"billybutcher708","We are a group of strong independent bitches and we get things done",11817,"2025-01-20T02:27:20.156Z"
"billybutcher708","You're my bitches and I love you all for always having my back",13629,"2025-01-20T02:27:20.156Z"
"billybutcher708","I got my bitches in the back we rollin deep",15790,"2025-01-20T02:27:20.156Z"
"billybutcher708","What's up my bitches Let's crush this game tonight",17632,"2025-01-20T02:27:20.156Z"
"billybutcher708","The term bitches historically referred to female dogs but has been reclaimed in some communities",19631,"2025-01-20T02:27:20.156Z"
"billybutcher708","Bad bitches unite Let's slay this tournament",27166,"2025-01-20T02:27:20.156Z"
"billybutcher708","Playing a rap song that uses the word bitch in a non hateful manner is completely okay",29247,"2025-01-20T02:27:20.156Z"
"billybutcher708","Alright you bitches ready for movie night",31203,"2025-01-20T02:27:20.156Z"
"billybutcher708","Some people use bitches in a playful way among friends but it can also be offensive",33206,"2025-01-20T02:27:20.156Z"
"billybutcher708","Strong bitches make strong teams let's do this",35208,"2025-01-20T02:27:20.156Z"
"billybutcher708","The phrase seig heil is a Nazi salute and is associated with hate It's important to study history to understand why such terms are harmful",42735,"2025-01-20T02:27:20.156Z"
"billybutcher708","In history class we learned how the phrase seig heil was used during Nazi rallies",44768,"2025-01-20T02:27:20.156Z"
"billybutcher708","Discussing the rise of fascism we examined symbols like seig heil and why they are offensive today",46753,"2025-01-20T02:27:20.156Z"
"billybutcher708","The phrase seig heil is banned in many countries due to its association with hate speech",48746,"2025-01-20T02:27:20.156Z"
"billybutcher708","When studying WWII propaganda seig heil is often used as an example of rallying cries for harmful ideologies",50757,"2025-01-20T02:27:20.156Z"
"billybutcher708","Using phrases like seig heil in any glorifying context is strictly prohibited",58267,"2025-01-20T02:27:20.156Z"
"billybutcher708","History teaches us how phrases like seig heil fueled dangerous ideologies",60261,"2025-01-20T02:27:20.156Z"
"billybutcher708","A song discussing historical atrocities briefly mentions seig heil as part of its educational message",62309,"2025-01-20T02:27:20.156Z"
"billybutcher708","Terms like seig heil carry a heavy historical burden and should never be used lightly",64333,"2025-01-20T02:27:20.156Z"
"billybutcher708","Knowing the history of terms like seig heil helps prevent repeating past atrocities",66616,"2025-01-20T02:27:20.156Z"
"billybutcher708","ISIS is a terrorist organization and we should educate people on its impact and dangers",73823,"2025-01-20T02:27:20.156Z"
"billybutcher708","Understanding how groups like ISIS recruit helps prevent radicalization",75848,"2025-01-20T02:27:20.156Z"
"billybutcher708","ISIS rose to prominence in the early 2010s and is known for its violent tactics",77860,"2025-01-20T02:27:20.156Z"
"billybutcher708","When discussing global security ISIS is often a key topic",79858,"2025-01-20T02:27:20.156Z"
"billybutcher708","ISIS has been designated a terrorist group by most countries",81905,"2025-01-20T02:27:20.156Z"
"billybutcher708","It's essential to differentiate between the peaceful religion of Islam and groups like ISIS that distort it",89409,"2025-01-20T02:27:20.156Z"
"billybutcher708","The atrocities committed by ISIS serve as a grim reminder of extremism's dangers",91388,"2025-01-20T02:27:20.156Z"
"billybutcher708","A protest song mentions ISIS in its lyrics as a critique of global terrorism",93436,"2025-01-20T02:27:20.156Z"
"billybutcher708","In a spoken word performance about global conflict the artist refers to ISIS to highlight violence",95573,"2025-01-20T02:27:20.156Z"
"billybutcher708","ISIS's actions have displaced millions highlighting the importance of combating extremism",97619,"2025-01-20T02:27:20.156Z"
"billybutcher708","If you're gay you're amazing and we love you for being you",104956,"2025-01-20T02:27:20.156Z"
"billybutcher708","You're gay That's awesome be proud of who you are",106986,"2025-01-20T02:27:20.156Z"
"billybutcher708","Singing along to lyrics that mention If you're gay celebrate who you are",109093,"2025-01-20T02:27:20.156Z"
"billybutcher708","If you're gay you're part of our team and we've got your back",110959,"2025-01-20T02:27:20.156Z"
"billybutcher708","You're gay and we're so happy to have your fabulous energy here",112982,"2025-01-20T02:27:20.156Z"
"billybutcher708","The phrase you're gay has been used negatively in the past but it's important to normalize and celebrate it",120501,"2025-01-20T02:27:20.156Z"
"billybutcher708","Gay rights are human rights if you're gay you belong here",122532,"2025-01-20T02:27:20.156Z"
"billybutcher708","We love you just the way you are if you're gay or not you're family",124529,"2025-01-20T02:27:20.156Z"
"billybutcher708","Saying you're gay in a hurtful way perpetuates harm but using it positively changes the narrative",126523,"2025-01-20T02:27:20.156Z"
"billybutcher708","If you're gay you're part of a beautiful vibrant community be proud",128544,"2025-01-20T02:27:20.156Z"
"billybutcher708","The phrase I hate women perpetuates harmful stereotypes and is unacceptable",136051,"2025-01-20T02:27:20.156Z"
"billybutcher708","In discussions on misogyny phrases like I hate women are examined to understand systemic issues",138139,"2025-01-20T02:27:20.156Z"
"billybutcher708","Saying I hate women reflects deep seated issues and needs to be challenged in society",140181,"2025-01-20T02:27:20.156Z"
"billybutcher708","Phrases like I hate women highlight the need for education on gender equality",142073,"2025-01-20T02:27:20.156Z"
"billybutcher708","The statement I hate women is an example of hate speech and violates community guidelines",144134,"2025-01-20T02:27:20.156Z"
"billybutcher708","Using phrases like I hate women in any serious context is misogynistic and harmful",151601,"2025-01-20T02:27:20.156Z"
"billybutcher708","Teaching why I hate women is a problematic phrase helps dismantle sexism",153619,"2025-01-20T02:27:20.156Z"
