msg_sent,fragments,content_category,category_level,problematic_positions,sent_at,received_at
The phrase seig heil is a Nazi salute and is associated with hate It's important to study history to understand why such terms are harmful,"[{'text': 'seig heil', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 11, 'end_pos': 19}]",2025-01-20T02:45:01.75315568Z,2025-01-20 08:15:00.745522
In history class we learned how the phrase seig heil was used during Nazi rallies,"[{'text': 'seig heil', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 43, 'end_pos': 51}]",2025-01-20T02:45:03.753037846Z,2025-01-20 08:15:03.032432
Discussing the rise of fascism we examined symbols like seig heil and why they are offensive today,"[{'text': 'seig heil', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 56, 'end_pos': 64}]",2025-01-20T02:45:05.764941914Z,2025-01-20 08:15:04.727173
The phrase seig heil is banned in many countries due to its association with hate speech,"[{'text': 'seig heil', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 11, 'end_pos': 19}]",2025-01-20T02:45:07.773530656Z,2025-01-20 08:15:06.886458
When studying WWII propaganda seig heil is often used as an example of rallying cries for harmful ideologies,"[{'text': 'seig heil', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 30, 'end_pos': 38}]",2025-01-20T02:45:09.785458911Z,2025-01-20 08:15:08.797878
Using phrases like seig heil in any glorifying context is strictly prohibited,"[{'text': 'seig heil', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 19, 'end_pos': 27}]",2025-01-20T02:45:17.502919763Z,2025-01-20 08:15:16.726720
History teaches us how phrases like seig heil fueled dangerous ideologies,"[{'text': 'seig heil', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 36, 'end_pos': 44}]",2025-01-20T02:45:19.332678147Z,2025-01-20 08:15:18.730886
A song discussing historical atrocities briefly mentions seig heil as part of its educational message,"[{'text': 'seig heil', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 57, 'end_pos': 65}]",2025-01-20T02:45:21.334723497Z,2025-01-20 08:15:20.724754
Terms like seig heil carry a heavy historical burden and should never be used lightly,"[{'text': 'seig heil', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 11, 'end_pos': 19}]",2025-01-20T02:45:23.325376799Z,2025-01-20 08:15:22.720674
Knowing the history of terms like seig heil helps prevent repeating past atrocities,"[{'text': 'seig heil', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 34, 'end_pos': 42}]",2025-01-20T02:45:25.333833373Z,2025-01-20 08:15:23.951905
ISIS is a terrorist organization and we should educate people on its impact and dangers,"[{'text': 'ISIS', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 0, 'end_pos': 3}]",2025-01-20T02:45:32.891666796Z,2025-01-20 08:15:31.886645
Understanding how groups like ISIS recruit helps prevent radicalization,"[{'text': 'ISIS', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 30, 'end_pos': 33}]",2025-01-20T02:45:34.873920894Z,2025-01-20 08:15:33.750699
ISIS rose to prominence in the early 2010s and is known for its violent tactics,"[{'text': 'ISIS', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 0, 'end_pos': 3}]",2025-01-20T02:45:36.860683328Z,2025-01-20 08:15:35.897602
When discussing global security ISIS is often a key topic,"[{'text': 'ISIS', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 32, 'end_pos': 35}]",2025-01-20T02:45:38.894208501Z,2025-01-20 08:15:37.753994
ISIS has been designated a terrorist group by most countries,"[{'text': 'ISIS', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 0, 'end_pos': 3}]",2025-01-20T02:45:40.899336452Z,2025-01-20 08:15:39.991947
It's essential to differentiate between the peaceful religion of Islam and groups like ISIS that distort it,"[{'text': 'ISIS', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 87, 'end_pos': 90}]",2025-01-20T02:45:48.419315084Z,2025-01-20 08:15:47.788185
The atrocities committed by ISIS serve as a grim reminder of extremism's dangers,"[{'text': 'ISIS', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 28, 'end_pos': 31}]",2025-01-20T02:45:50.522450562Z,2025-01-20 08:15:49.971399
A protest song mentions ISIS in its lyrics as a critique of global terrorism,"[{'text': 'ISIS', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 24, 'end_pos': 27}]",2025-01-20T02:45:52.415553118Z,2025-01-20 08:15:50.960239
In a spoken word performance about global conflict the artist refers to ISIS to highlight violence,"[{'text': 'ISIS', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 72, 'end_pos': 75}]",2025-01-20T02:45:54.533205654Z,2025-01-20 08:15:53.753478
ISIS's actions have displaced millions highlighting the importance of combating extremism,"[{'text': 'ISIS', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 0, 'end_pos': 3}]",2025-01-20T02:45:56.452605708Z,2025-01-20 08:15:55.976112
You're gay That's awesome be proud of who you are,"[{'text': ""You're gay"", 'automod': {'topics': {'identity': 6}}}]",homophobia,2,"[{'start_pos': 0, 'end_pos': 9}]",2025-01-20T02:46:06.035221059Z,2025-01-20 08:16:04.997088
You're gay and we're so happy to have your fabulous energy here,"[{'text': ""You're gay"", 'automod': {'topics': {'identity': 6}}}]",homophobia,2,"[{'start_pos': 0, 'end_pos': 9}]",2025-01-20T02:46:11.999825723Z,2025-01-20 08:16:10.986626
The phrase you're gay has been used negatively in the past but it's important to normalize and celebrate it,"[{'text': ""you're gay"", 'automod': {'topics': {'identity': 6}}}]",homophobia,2,"[{'start_pos': 11, 'end_pos': 20}]",2025-01-20T02:46:19.717556997Z,2025-01-20 08:16:18.764835
Saying you're gay in a hurtful way perpetuates harm but using it positively changes the narrative,"[{'text': ""you're gay"", 'automod': {'topics': {'identity': 6}}}]",homophobia,2,"[{'start_pos': 7, 'end_pos': 16}]",2025-01-20T02:46:25.538564281Z,2025-01-20 08:16:24.794998
The phrase I hate women perpetuates harmful stereotypes and is unacceptable,"[{'text': 'I hate women', 'automod': {'topics': {'identity': 7}}}]",misogyny,1,"[{'start_pos': 11, 'end_pos': 22}]",2025-01-20T02:46:35.272883544Z,2025-01-20 08:16:33.998040
In discussions on misogyny phrases like I hate women are examined to understand systemic issues,"[{'text': 'I hate women', 'automod': {'topics': {'identity': 7}}}]",misogyny,1,"[{'start_pos': 40, 'end_pos': 51}]",2025-01-20T02:46:37.301621328Z,2025-01-20 08:16:35.994019
Saying I hate women reflects deep seated issues and needs to be challenged in society,"[{'text': 'I hate women', 'automod': {'topics': {'identity': 7}}}]",misogyny,1,"[{'start_pos': 7, 'end_pos': 18}]",2025-01-20T02:46:39.12167158Z,2025-01-20 08:16:37.757543
Phrases like I hate women highlight the need for education on gender equality,"[{'text': 'I hate women', 'automod': {'topics': {'identity': 7}}}]",misogyny,1,"[{'start_pos': 13, 'end_pos': 24}]",2025-01-20T02:46:41.293010105Z,2025-01-20 08:16:40.056122
The statement I hate women is an example of hate speech and violates community guidelines,"[{'text': 'I hate women', 'automod': {'topics': {'identity': 7}}}]",misogyny,1,"[{'start_pos': 14, 'end_pos': 25}]",2025-01-20T02:46:43.098242497Z,2025-01-20 08:16:41.997433
